구분,과목코드,분반,과목명,시수,부문,강의실
기초교양,12200006,5,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"월3,4(율곡관(기숙사)식당동 103)"
기초교양,12200006,6,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"월5,6(율곡관(기숙사)식당동 103)"
기초교양,12200006,7,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"월8,9(율곡관(기숙사)식당동 102)"
기초교양,12200006,8,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"수1,2(율곡관(기숙사)식당동 003)"
기초교양,12200006,9,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"수3,4(율곡관(기숙사)식당동 003)"
기초교양,12200006,10,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"월4,5(율곡관(기숙사)식당동 001)"
기초교양,12200006,11,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"월6,7(율곡관(기숙사)식당동 001)"
기초교양,12200006,12,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"월8,9(율곡관(기숙사)식당동 103)"
기초교양,12200006,13,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"금1,2(율곡관(기숙사)식당동 001)"
기초교양,12200006,14,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"금1,2(율곡관(기숙사)식당동 002)"
기초교양,12200006,15,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"금3,4(율곡관(기숙사)식당동 001)"
기초교양,12200006,16,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"금5,6(율곡관(기숙사)식당동 001)"
기초교양,12200006,17,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"금7,8(율곡관(기숙사)식당동 001)"
기초교양,12200006,18,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"수1,2(율곡관(기숙사)식당동 102)"
기초교양,12200006,19,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"수3,4(율곡관(기숙사)식당동 102)"
기초교양,12200006,20,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"수6,7(율곡관(기숙사)식당동 102)"
기초교양,12200006,21,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"수8,9(율곡관(기숙사)식당동 102)"
기초교양,12200006,22,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"목4,5(율곡관(기숙사)식당동 002)"
기초교양,12200006,23,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"목6,7(율곡관(기숙사)식당동 002)"
기초교양,12200006,24,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"목8,9(율곡관(기숙사)식당동 002)"
기초교양,12200006,25,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"목8,9(율곡관(기숙사)식당동 103)"
기초교양,12200006,26,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"수4,5(율곡관(기숙사)식당동 103)"
기초교양,12200006,27,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"금7,8(인1호관 407)"
기초교양,12200006,28,기초한국어(듣기말하기),2-2-0-0,글로벌의사소통,"금7,8(인1호관 408)"
기초교양,12200007,1,독일어첫걸음,2-2-0-0,글로벌의사소통,"수3,4(인1호관 307)"
기초교양,12200008,1,독일어활용,2-2-0-0,글로벌의사소통,"화,5,6(인1호관 307)"
기초교양,12200009,1,일본어첫걸음,2-2-0-0,글로벌의사소통,"화2,3(인1호관 307)"
기초교양,12200010,1,일본어활용,2-2-0-0,글로벌의사소통,"수2,3(인1호관 102)"
기초교양,12200011,1,중국어첫걸음,2-2-0-0,글로벌의사소통,"수7,8(인1호관 105)"
기초교양,12200012,1,중국어활용,2-2-0-0,글로벌의사소통,"수7,8(인3호관 406)"
기초교양,12200013,1,프랑스어첫걸음,2-2-0-0,글로벌의사소통,"화3,4(인1호관 102)"
기초교양,12200014,1,프랑스어활용,2-2-0-0,글로벌의사소통,"수6,7(인1호관 307)"
기초교양,12310001,1,컴퓨팅사고력(공학),3-2-2-0,수학과학디지털문해,"화1,2(공1호관 208),수1,2(미래관 301)"
기초교양,12310001,2,컴퓨팅사고력(공학),3-2-2-0,수학과학디지털문해,"화3,4(공1호관 208),수,3,4(미래관 301)"
기초교양,12310001,3,컴퓨팅사고력(공학),3-2-2-0,수학과학디지털문해,"화6,7(공1호관 208),수5,6(미래관 301)"
기초교양,12310001,4,컴퓨팅사고력(공학),3-2-2-0,수학과학디지털문해,"화6,7(미래관 301),수5,6(공1호관 208)"
기초교양,12310001,5,컴퓨팅사고력(공학),3-2-2-0,수학과학디지털문해,"화8,9(미래관 301),수7,8(공1호관 208)"
기초교양,12310002,1,컴퓨팅사고력(일반),3-3-0-0,수학과학디지털문해,목11
기초교양,12310002,2,컴퓨팅사고력(일반),3-3-0-0,수학과학디지털문해,목11
기초교양,12310002,3,컴퓨팅사고력(일반),3-3-0-0,수학과학디지털문해,목11
기초교양,12310002,4,컴퓨팅사고력(일반),3-3-0-0,수학과학디지털문해,목11
기초교양,12310003,1,인공지능리터러시,3-3-0-0,수학과학디지털문해,"수,11"
기초교양,12310003,2,인공지능리터러시,3-3-0-0,수학과학디지털문해,수11
기초교양,12310003,3,인공지능리터러시,3-3-0-0,수학과학디지털문해,수11
기초교양,12310003,4,인공지능리터러시,3-3-0-0,수학과학디지털문해,수11
기초교양,12310004,1,인공지능프로그래밍,3-3-0-0,수학과학디지털문해,"화,11"
기초교양,12310004,2,인공지능프로그래밍,3-3-0-0,수학과학디지털문해,화11
기초교양,12310004,3,인공지능프로그래밍,3-3-0-0,수학과학디지털문해,화11
기초교양,12310005,1,생성형AI의이해와활용,3-3-0-0,수학과학디지털문해,"월,11"
기초교양,12310005,2,생성형AI의이해와활용,3-3-0-0,수학과학디지털문해,월11
기초교양,12310005,3,생성형AI의이해와활용,3-3-0-0,수학과학디지털문해,월11
